GoogleCountry,Ecosystem,GoogleCity,Region,flag
Argentina,Buenos Aires,Villa España,Latin America,-2
Argentina,Rosario,Arequito,Latin America,-2
Argentina,Buenos Aires,Tristán Suárez,Latin America,-2
Argentina,Buenos Aires,La Plata,Latin America,1
Argentina,Buenos Aires,Villa Ballester,Latin America,1
Argentina,Buenos Aires,Villa Tesei,Latin America,-2
Argentina,Buenos Aires,Villa Sarmiento,Latin America,-2
Argentina,Rosario,Rosario,Latin America,1
Argentina,Buenos Aires,Ezeiza,Latin America,1
Argentina,Buenos Aires,Marcos Paz,Latin America,-2
Argentina,Buenos Aires,Villa Urquiza,Latin America,-2
Argentina,Buenos Aires,Ramos Mejía,Latin America,-2
Argentina,Buenos Aires,Nez,Latin America,-2
Argentina,Buenos Aires,Belgrano,Latin America,-2
Argentina,Buenos Aires,Lujn,Latin America,-2
Argentina,Buenos Aires,Wilde,Latin America,1
Argentina,Buenos Aires,Ciudadela,Latin America,-2
Argentina,Buenos Aires,Don Torcuato,Latin America,-2
Argentina,Buenos Aires,Munro,Latin America,-2
Argentina,Buenos Aires,Turdera,Latin America,-2
Argentina,Buenos Aires,Pilar,Latin America,1
Argentina,Cordoba,Casa Bamba,Latin America,-2
Argentina,Buenos Aires,Tortuguitas,Latin America,-2
Argentina,Rosario,General Lagos,Latin America,-2
Argentina,Cordoba,Cabaa de Ro Pinto,Latin America,-2
Argentina,Buenos Aires,San Nicolás,Latin America,-2
Argentina,Buenos Aires,Quilmes,Latin America,1
Argentina,Cordoba,Villa General Belgrano,Latin America,-2
Argentina,Buenos Aires,Lomas de Zamora,Latin America,1
Argentina,Buenos Aires,Ciudad Evita,Latin America,-2
Argentina,Buenos Aires,Bella Vista,Latin America,1
Argentina,Rosario,Alcorta,Latin America,-2
Argentina,Buenos Aires,Acassuso,Latin America,-2
Argentina,Buenos Aires,Francisco Alvarez,Latin America,-2
Argentina,Buenos Aires,Castelar,Latin America,-2
Argentina,Buenos Aires,Senz Pea,Latin America,-2
Argentina,Buenos Aires,Ingeniero Maschwitz,Latin America,-2
Argentina,Cordoba,Villa Carlos Paz,Latin America,-2
Argentina,Buenos Aires,El Palomar,Latin America,-2
Argentina,Rosario,San Nicols de los Arroyos,Latin America,-2
Argentina,Buenos Aires,Caballito,Latin America,1
Argentina,Cordoba,Santa Rosa de Calamuchita,Latin America,-2
Argentina,Buenos Aires,Ituzaingó,Latin America,-2
Argentina,Buenos Aires,Temperley,Latin America,1
Argentina,Buenos Aires,Berisso,Latin America,1
Argentina,Buenos Aires,Lans Oeste,Latin America,-2
Argentina,Buenos Aires,La Reja,Latin America,-2
Argentina,Rosario,Funes,Latin America,1
Argentina,Buenos Aires,La Tablada,Latin America,-2
Argentina,Buenos Aires,Ensenada,Latin America,1
Armenia,Yerevan,Ddmashen,Asia,-2
Armenia,Yerevan,Charentsavan,Asia,-2
Armenia,Yerevan,Gyumri,Asia,-2
Armenia,Yerevan,Yerevan,Asia,1
Armenia,Yerevan,Vagharshapat,Asia,-2
Armenia,Yerevan,Dilijan,Asia,-2
Australia,Melbourne,Berwick,Oceania,1
Australia,Melbourne,Melbourne,Oceania,1
Australia,Melbourne,Abbotsford,Oceania,1
Australia,Melbourne,Altona,Oceania,1
Australia,Melbourne,Altona Meadows,Oceania,1
Australia,Melbourne,Blackburn,Oceania,1
Australia,Melbourne,Brighton,Oceania,1
Australia,Melbourne,Brunswick,Oceania,1
Australia,Melbourne,Brunswick East,Oceania,1
Australia,Melbourne,Burnley,Oceania,1
Australia,Melbourne,Carnegie,Oceania,1
Australia,Melbourne,Chelsea,Oceania,1
Australia,Melbourne,Cheltenham,Oceania,1
Australia,Melbourne,Clayton,Oceania,1
Australia,Melbourne,Clifton Hill,Oceania,-2
Australia,Melbourne,Coburg,Oceania,1
Australia,Melbourne,Croydon,Oceania,1
Australia,Melbourne,Dallas,Oceania,-1
Australia,Melbourne,Docklands,Oceania,1
Australia,Melbourne,Doncaster,Oceania,1
Australia,Melbourne,Fitzroy,Oceania,1
Australia,Melbourne,Flemington,Oceania,1
Australia,Melbourne,Footscray,Oceania,-2
Australia,Melbourne,Geelong,Oceania,1
Australia,Melbourne,Glen Waverley,Oceania,-2
Australia,Melbourne,Hampton,Oceania,1
Australia,Melbourne,Hastings,Oceania,1
Australia,Melbourne,Hawthorn,Oceania,1
Australia,Melbourne,Heidelberg,Oceania,-1
Australia,Melbourne,Lara,Oceania,1
Australia,Melbourne,Malvern,Oceania,1
Australia,Melbourne,Parkville,Oceania,1
Australia,Melbourne,Melton,Oceania,1
Australia,Melbourne,Meredith,Oceania,1
Australia,Melbourne,Mooroolbark,Oceania,-2
Australia,Melbourne,North Melbourne,Oceania,-1
Australia,Melbourne,Ocean Grove,Oceania,1
Australia,Melbourne,Olinda,Oceania,1
Australia,Melbourne,Ormond,Oceania,1
Australia,Melbourne,Preston,Oceania,1
Australia,Melbourne,Richmond,Oceania,-1
Australia,Melbourne,Rye,Oceania,1
Australia,Melbourne,Sandhurst,Oceania,1
Australia,Melbourne,Seaford,Oceania,1
Australia,Melbourne,Seymour,Oceania,1
Australia,Melbourne,Somers,Oceania,1
Australia,Melbourne,Somerville,Oceania,-1
Australia,Melbourne,Sorrento,Oceania,1
Australia,Melbourne,South Yarra,Oceania,1
Australia,Melbourne,Sunbury,Oceania,-2
Australia,Melbourne,Torquay,Oceania,1
Australia,Melbourne,Tyabb,Oceania,1
Australia,Melbourne,Vermont,Oceania,1
Australia,Melbourne,West Melbourne,Oceania,-1
Australia,Melbourne,Williamstown,Oceania,1
Australia,Sydney,North Sydney,Oceania,1
Australia,Sydney,Sydney,Oceania,1
Australia,Sydney,Alexandria,Oceania,1
Australia,Sydney,Annandale,Oceania,1
Australia,Sydney,Auburn,Oceania,1
Australia,Sydney,Baulkham Hills,Oceania,-2
Australia,Sydney,Beverly Hills,Oceania,1
Australia,Sydney,Blackheath,Oceania,-2
Australia,Sydney,Bondi Beach,Oceania,1
Australia,Sydney,Ultimo,Oceania,1
Australia,Sydney,Brooklyn,Oceania,-1
Australia,Sydney,Bulli,Oceania,1
Australia,Sydney,Canterbury,Oceania,1
Australia,Sydney,Central Coast,Oceania,1
Australia,Sydney,Wollongong,Oceania,1
Australia,Sydney,Concord,Oceania,1
Australia,Sydney,Curl Curl,Oceania,1
Australia,Sydney,Davidson,Oceania,1
Australia,Sydney,Dulwich Hill,Oceania,1
Australia,Sydney,Dundas,Oceania,1
Australia,Sydney,Fairfield,Oceania,1
Australia,Sydney,Glenwood,Oceania,1
Australia,Sydney,Gosford,Oceania,1
Australia,Sydney,Granville,Oceania,1
Australia,Sydney,Greenwich,Oceania,1
Australia,Sydney,Haymarket,Oceania,1
Australia,Sydney,Kensington,Oceania,1
Australia,Sydney,Kingsford,Oceania,1
Australia,Sydney,Leura,Oceania,1
Australia,Sydney,Lewisham,Oceania,1
Australia,Sydney,Liverpool,Oceania,1
Australia,Sydney,Manly,Oceania,1
Australia,Sydney,Maroubra,Oceania,1
Australia,Sydney,Marrickville,Oceania,1
Australia,Sydney,Minchinbury,Oceania,1
Australia,Sydney,Miranda,Oceania,1
Australia,Sydney,Moore Park,Oceania,1
Australia,Sydney,Mount Vernon,Oceania,1
Australia,Sydney,Newport,Oceania,1
Australia,Sydney,Newtown,Oceania,1
Australia,Sydney,Oakville,Oceania,1
Australia,Sydney,Padstow,Oceania,1
Australia,Sydney,Palm Beach,Oceania,1
Australia,Sydney,Rhodes,Oceania,1
Australia,Sydney,Roseville,Oceania,1
Australia,Sydney,Ruse,Oceania,1
Australia,Sydney,Saint Peters,Oceania,-2
Australia,Sydney,Seven Hills,Oceania,-2
Australia,Sydney,Smithfield,Oceania,1
Australia,Sydney,Tempe,Oceania,-1
Australia,Sydney,Swansea,Oceania,1
Australia,Sydney,Sylvania,Oceania,1
Australia,Sydney,The Entrance,Oceania,1
Australia,Sydney,Vaucluse,Oceania,1
Australia,Sydney,Vineyard,Oceania,-2
Australia,Sydney,Waterloo,Oceania,-1
Australia,Sydney,Waverley,Oceania,-2
Australia,Sydney,Windsor,Oceania,1
Australia,Sydney,Winston Hills,Oceania,-2
Australia,Sydney,Woy Woy,Oceania,1
Australia,Sydney,Wyoming,Oceania,1
Australia,Brisbane,Spring Hill,Oceania,1
Australia,Adelaide,Port Noarlunga,Oceania,-2
Australia,Adelaide,Clapham,Oceania,-2
Australia,Canberra,Gunning,Oceania,-2
Australia,Brisbane,Carbrook,Oceania,-2
Australia,Adelaide,Netley,Oceania,-2
Australia,Perth,Malaga,Oceania,1
Australia,Brisbane,Burleigh Heads,Oceania,-2
Australia,Adelaide,Campbelltown,Oceania,-2
Australia,Brisbane,Pimpama,Oceania,-2
Australia,Brisbane,Kuraby,Oceania,-2
Australia,Perth,Subiaco,Oceania,-2
Australia,Perth,Applecross,Oceania,-2
Australia,Brisbane,Spring Creek,Oceania,-2
Australia,Brisbane,Darra,Oceania,-2
Australia,Brisbane,Brisbane,Oceania,1
Australia,Perth,Yokine,Oceania,-2
Australia,Perth,North Beach,Oceania,1
Australia,Brisbane,Beenleigh,Oceania,-2
Australia,Perth,Baskerville,Oceania,-2
Australia,Brisbane,Maroochydore,Oceania,-2
Australia,Adelaide,Glenside,Oceania,1
Australia,Adelaide,Pooraka,Oceania,-2
Australia,Perth,Bentley,Oceania,-2
Australia,Canberra,Wanniassa,Oceania,-2
Australia,Perth,East Fremantle,Oceania,-2
Australia,Perth,Golden Bay,Oceania,-2
Australia,Perth,West Perth,Oceania,1
Australia,Canberra,Acton,Oceania,1
Australia,Perth,Fremantle,Oceania,1
Australia,Perth,Guildford,Oceania,1
Australia,Perth,Welshpool,Oceania,-2
Australia,Brisbane,Brisbane Airport,Oceania,-2
Australia,Perth,Belmont,Oceania,1
Australia,Adelaide,Findon,Oceania,-2
Australia,Perth,Success,Oceania,-2
Australia,Adelaide,Mount Pleasant,Oceania,1
Australia,Canberra,Kaleen,Oceania,-2
Australia,Brisbane,Brookfield,Oceania,1
Australia,Brisbane,Murarrie,Oceania,-2
Australia,Brisbane,Broadbeach,Oceania,-2
Australia,Brisbane,Bracken Ridge,Oceania,-2
Australia,Brisbane,McDowall,Oceania,-2
Australia,Perth,Ocean Reef,Oceania,-2
Australia,Adelaide,Athol Park,Oceania,-2
Australia,Perth,Landsdale,Oceania,-2
Australia,Adelaide,Hampstead Gardens,Oceania,-2
Australia,Adelaide,Seaton,Oceania,-2
Australia,Canberra,Goulburn,Oceania,1
Australia,Adelaide,Daw Park,Oceania,-2
Australia,Brisbane,Worongary,Oceania,-2
Australia,Brisbane,Saint Lucia,Oceania,1
Australia,Canberra,Deakin,Oceania,1
Australia,Brisbane,Mooloolaba,Oceania,-2
Australia,Perth,Queens Park,Oceania,1
Australia,Adelaide,Walkley Heights,Oceania,-2
Australia,Perth,Wundowie,Oceania,-2
Australia,Adelaide,Klemzig,Oceania,-2
Australia,Adelaide,O'Halloran Hill,Oceania,-2
Australia,Perth,Maylands,Oceania,-2
Australia,Perth,Rossmoyne,Oceania,-2
Australia,Adelaide,Gilles Plains,Oceania,-2
Australia,Perth,Edgewater,Oceania,1
Australia,Brisbane,Redland Bay,Oceania,-2
Australia,Adelaide,Saint Kilda,Oceania,-2
Australia,Brisbane,Sandgate,Oceania,-2
Australia,Perth,Trigg,Oceania,-2
Australia,Perth,Stirling,Oceania,1
Australia,Brisbane,Redbank,Oceania,-2
Australia,Brisbane,Springfield Lakes,Oceania,-2
Australia,Brisbane,Boondall,Oceania,-2
Australia,Brisbane,Toowong,Oceania,-2
Australia,Brisbane,Arana Hills,Oceania,-2
Australia,Adelaide,Reynella,Oceania,-2
Australia,Canberra,Canberra,Oceania,1
Australia,Brisbane,Kunda Park,Oceania,-2
Australia,Brisbane,Yeronga,Oceania,-2
Australia,Perth,Currambine,Oceania,-2
Australia,Adelaide,Clinton,Oceania,1
Australia,Brisbane,Clayfield,Oceania,-2
Australia,Perth,Henley Brook,Oceania,-2
Australia,Perth,Carabooda,Oceania,-2
Australia,Adelaide,McLaren Vale,Oceania,-2
Australia,Adelaide,Magill,Oceania,-2
Australia,Perth,Como,Oceania,1
Australia,Brisbane,Fortitude Valley,Oceania,-2
Australia,Canberra,Queanbeyan,Oceania,-2
Australia,Brisbane,Hatton Vale,Oceania,-2
Australia,Brisbane,Surfers Paradise,Oceania,-2
Australia,Brisbane,Slacks Creek,Oceania,-2
Australia,Perth,Hillarys,Oceania,-2
Australia,Perth,Forrestdale,Oceania,-2
Australia,Perth,O'Connor,Oceania,-2
Australia,Brisbane,Hope Island,Oceania,-2
Australia,Brisbane,Aroona,Oceania,-2
Australia,Brisbane,Calamvale,Oceania,-2
Australia,Brisbane,Palmwoods,Oceania,-2
Australia,Brisbane,Rochedale South,Oceania,-2
Australia,Brisbane,Seventeen Mile Rocks,Oceania,-2
Australia,Brisbane,Woodridge,Oceania,-2
Australia,Brisbane,East Brisbane,Oceania,-2
Australia,Brisbane,Albion,Oceania,1
Australia,Brisbane,Mount Ommaney,Oceania,-2
Australia,Adelaide,Somerton Park,Oceania,-2
Australia,Canberra,Queanbeyan East,Oceania,-2
Australia,Perth,Wembley,Oceania,-2
Australia,Perth,Tuart Hill,Oceania,-2
Australia,Brisbane,Coopers Plains,Oceania,-2
Australia,Brisbane,Bowen Hills,Oceania,-2
Australia,Brisbane,Bundall,Oceania,-2
Australia,Brisbane,Herston,Oceania,-2
Australia,Perth,Maddington,Oceania,-2
Australia,Adelaide,Osborne,Oceania,-2
Australia,Brisbane,Auchenflower,Oceania,-2
Australia,Brisbane,Oxenford,Oceania,-2
Australia,Brisbane,Wynnum,Oceania,-2
Australia,Adelaide,Clarence Gardens,Oceania,-2
Australia,Adelaide,Port Adelaide,Oceania,-2
Australia,Perth,Cottesloe,Oceania,-2
Australia,Adelaide,Adelaide,Oceania,1
Australia,Adelaide,Clovelly Park,Oceania,-2
Australia,Brisbane,Capalaba,Oceania,-2
Australia,Brisbane,Helensvale,Oceania,-2
Australia,Perth,Rockingham,Oceania,1
Australia,Brisbane,Pelican Waters,Oceania,-2
Australia,Brisbane,Strathpine,Oceania,-2
Australia,Brisbane,Bilinga,Oceania,-2
Australia,Perth,Mount Hawthorn,Oceania,-2
Australia,Canberra,Braidwood,Oceania,-2
Australia,Brisbane,Molendinar,Oceania,-2
Australia,Adelaide,Currency Creek,Oceania,-2
Australia,Brisbane,Mount Gravatt,Oceania,-2
Australia,Adelaide,Keyneton,Oceania,-2
Australia,Canberra,Gungahlin,Oceania,-2
Australia,Brisbane,South Brisbane,Oceania,-2
Australia,Brisbane,Lawnton,Oceania,-2
Australia,Adelaide,Brooklyn Park,Oceania,1
Australia,Adelaide,Rose Park,Oceania,-2
Australia,Adelaide,Thebarton,Oceania,-2
Australia,Brisbane,Richlands,Oceania,-2
Australia,Brisbane,Arundel,Oceania,-2
Australia,Adelaide,Glen Osmond,Oceania,-2
Australia,Perth,Dianella,Oceania,-2
Australia,Canberra,Belconnen,Oceania,-2
Australia,Brisbane,Upper Coomera,Oceania,-2
Australia,Brisbane,Yatala,Oceania,-2
Australia,Perth,Bibra Lake,Oceania,-2
Australia,Brisbane,Kilcoy,Oceania,-2
Australia,Brisbane,Caboolture,Oceania,1
Australia,Perth,Gidgegannup,Oceania,-2
Australia,Perth,Joondalup,Oceania,-2
Australia,Brisbane,Margate,Oceania,-2
Australia,Brisbane,Victoria Point,Oceania,-2
Australia,Perth,Karrinyup,Oceania,-2
Australia,Perth,Embleton,Oceania,-2
Australia,Brisbane,Wakerley,Oceania,-2
Australia,Adelaide,Mylor,Oceania,-2
Australia,Adelaide,Old Noarlunga,Oceania,-2
Australia,Adelaide,Burton,Oceania,1
Australia,Brisbane,Mudgeeraba,Oceania,-2
Australia,Brisbane,West End,Oceania,-2
Australia,Brisbane,Mermaid Waters,Oceania,-2
Australia,Brisbane,Newstead,Oceania,1
Australia,Canberra,Bruce,Oceania,1
Australia,Adelaide,Black Forest,Oceania,1
Australia,Brisbane,Robina,Oceania,-2
Australia,Brisbane,Maudsland,Oceania,-2
Australia,Adelaide,Alberton,Oceania,-2
Australia,Brisbane,Bundamba,Oceania,-2
Australia,Perth,Mount Claremont,Oceania,-2
Australia,Adelaide,Aldinga,Oceania,1
Australia,Adelaide,Gawler,Oceania,-2
Australia,Brisbane,Eatons Hill,Oceania,-2
Australia,Perth,Melville,Oceania,-2
Australia,Brisbane,Redcliffe,Oceania,-2
Australia,Brisbane,Benowa,Oceania,-2
Australia,Brisbane,Loganholme,Oceania,-2
Australia,Brisbane,Chermside,Oceania,-2
Australia,Adelaide,Allenby Gardens,Oceania,-2
Australia,Perth,Beeliar,Oceania,-2
Australia,Brisbane,Parkwood,Oceania,-2
Australia,Brisbane,Tweed Heads,Oceania,-2
Australia,Perth,Herdsman,Oceania,-2
Australia,Brisbane,Bongaree,Oceania,-2
Australia,Canberra,Conder,Oceania,-2
Australia,Brisbane,Stapylton,Oceania,-2
Australia,Adelaide,Plympton,Oceania,-2
Australia,Canberra,Boro,Oceania,-2
Australia,Perth,Inglewood,Oceania,-2
Australia,Perth,Osborne Park,Oceania,-2
Australia,Brisbane,Wamuran,Oceania,-2
Australia,Adelaide,Bedford Park,Oceania,-2
Australia,Canberra,Mawson,Oceania,-2
Australia,Brisbane,Mermaid Beach,Oceania,1
Australia,Perth,Willetton,Oceania,-2
Australia,Brisbane,Tingalpa,Oceania,-2
Australia,Perth,North Perth,Oceania,-2
Australia,Brisbane,Sunshine Coast,Oceania,1
Australia,Brisbane,Sippy Downs,Oceania,-2
Australia,Brisbane,Geebung,Oceania,-2
Australia,Brisbane,Warana,Oceania,-2
Australia,Adelaide,Melrose Park,Oceania,1
Australia,Brisbane,Upper Mount Gravatt,Oceania,-2
Australia,Canberra,Giralang,Oceania,-2
Australia,Adelaide,Collinswood,Oceania,-2
Australia,Perth,Midland,Oceania,1
Australia,Canberra,Barton,Oceania,-2
Australia,Brisbane,Dunwich,Oceania,-2
Australia,Perth,Bayswater,Oceania,-2
Australia,Adelaide,Payneham,Oceania,-2
Australia,Brisbane,Eight Mile Plains,Oceania,-2
Australia,Brisbane,Carole Park,Oceania,-2
Australia,Perth,Carlisle,Oceania,1
Australia,Perth,Leederville,Oceania,-2
Australia,Perth,Darlington,Oceania,1
Australia,Brisbane,Underwood,Oceania,-2
Australia,Brisbane,Teneriffe,Oceania,-2
Australia,Brisbane,Camp Hill,Oceania,1
Australia,Brisbane,New Farm,Oceania,-2
Australia,Brisbane,Edens Landing,Oceania,-2
Australia,Brisbane,Varsity Lakes,Oceania,-2
Australia,Perth,Hamilton Hill,Oceania,-2
Australia,Adelaide,Holden Hill,Oceania,-2
Australia,Adelaide,Mannum,Oceania,-2
Australia,Brisbane,Nundah,Oceania,-2
Australia,Adelaide,Torrensville,Oceania,-2
Australia,Adelaide,West Lakes Shore,Oceania,-2
Australia,Perth,Pinjarra,Oceania,-2
Australia,Perth,Piara Waters,Oceania,-2
Australia,Brisbane,Biggera Waters,Oceania,-2
Australia,Adelaide,Echunga,Oceania,-2
Australia,Perth,Northbridge,Oceania,-2
Australia,Canberra,Pearce,Oceania,-2
Australia,Brisbane,Currumbin,Oceania,-2
Australia,Brisbane,Taringa,Oceania,-2
Australia,Adelaide,Regency Park,Oceania,-2
Australia,Perth,Cockburn Central,Oceania,-2
Australia,Adelaide,Beaumont,Oceania,1
Australia,Brisbane,Loganlea,Oceania,-2
Australia,Brisbane,Beerwah,Oceania,-2
Australia,Perth,Cloverdale,Oceania,-2
Australia,Perth,Spearwood,Oceania,-2
Australia,Adelaide,Cowandilla,Oceania,-2
Australia,Brisbane,Forest Glen,Oceania,-2
Australia,Brisbane,Sherwood,Oceania,1
Australia,Perth,Naval Base,Oceania,-2
Australia,Brisbane,Gold Coast,Oceania,1
Australia,Brisbane,Dayboro,Oceania,-2
Australia,Brisbane,Deception Bay,Oceania,-2
Australia,Perth,Kallaroo,Oceania,-2
Australia,Perth,Myaree,Oceania,-2
Australia,Brisbane,Pinkenba,Oceania,-2
Australia,Brisbane,Kenmore,Oceania,1
Australia,Brisbane,Woolloongabba,Oceania,1
Australia,Adelaide,Modbury,Oceania,-2
Australia,Perth,Hazelmere,Oceania,-2
Australia,Adelaide,Oaklands Park,Oceania,-2
Australia,Perth,South Perth,Oceania,-2
Australia,Brisbane,Lutwyche,Oceania,-2
Australia,Brisbane,Thagoona,Oceania,-2
Australia,Brisbane,Enoggera,Oceania,-2
Australia,Perth,Bassendean,Oceania,-2
Australia,Perth,Victoria Park,Oceania,-2
Australia,Brisbane,Mons,Oceania,1
Australia,Adelaide,Newton,Oceania,1
Australia,Brisbane,Albany Creek,Oceania,-2
Australia,Perth,Balcatta,Oceania,-2
Australia,Perth,West Leederville,Oceania,-2
Australia,Adelaide,Kent Town,Oceania,-2
Australia,Perth,High Wycombe,Oceania,1
Australia,Adelaide,Norton Summit,Oceania,-2
Australia,Perth,South Guildford,Oceania,-2
Australia,Brisbane,Newmarket,Oceania,1
Australia,Brisbane,Blenheim,Oceania,-2
Australia,Brisbane,Yeerongpilly,Oceania,-2
Australia,Brisbane,North Lakes,Oceania,-2
Australia,Brisbane,Northgate,Oceania,-2
Australia,Adelaide,Coromandel Valley,Oceania,-2
Australia,Brisbane,Main Beach,Oceania,-2
Australia,Perth,Nedlands,Oceania,-2
Australia,Adelaide,Parkside,Oceania,-2
Australia,Brisbane,Wights Mountain,Oceania,-2
Australia,Perth,Martin,Oceania,1
Australia,Brisbane,Currumbin Waters,Oceania,-2
Australia,Brisbane,Tugun,Oceania,-2
Australia,Brisbane,Coorparoo,Oceania,-2
Australia,Brisbane,Buddina,Oceania,-2
Australia,Brisbane,Elanora,Oceania,-2
Australia,Brisbane,Birtinya,Oceania,-2
Australia,Perth,Scarborough,Oceania,1
Australia,Perth,Churchlands,Oceania,-2
Australia,Perth,Duncraig,Oceania,-2
Australia,Brisbane,Indooroopilly,Oceania,-2
Australia,Brisbane,Beaudesert,Oceania,-2
Australia,Brisbane,Carrara,Oceania,1
Australia,Brisbane,Withcott,Oceania,-2
Australia,Brisbane,Miami,Oceania,-1
Australia,Brisbane,Acacia Ridge,Oceania,-2
Australia,Brisbane,Pacific Pines,Oceania,-2
Australia,Brisbane,Birkdale,Oceania,-2
Australia,Canberra,Red Hill,Oceania,1
Australia,Brisbane,Archerfield,Oceania,-2
Australia,Adelaide,Crafers,Oceania,-2
Australia,Brisbane,Paradise Point,Oceania,-2
Australia,Adelaide,Mile End,Oceania,-2
Australia,Brisbane,Zillmere,Oceania,-2
Australia,Perth,Innaloo,Oceania,-2
Australia,Brisbane,Kangaroo Point,Oceania,-2
Australia,Adelaide,Unley,Oceania,-2
Australia,Perth,Mandurah,Oceania,1
Australia,Brisbane,Tamborine Mountain,Oceania,1
Australia,Perth,Jolimont,Oceania,-2
Australia,Brisbane,Dutton Park,Oceania,-2
Australia,Adelaide,Cavan,Oceania,-2
Australia,Brisbane,Bardon,Oceania,-2
Australia,Canberra,Nicholls,Oceania,-2
Australia,Canberra,Lyneham,Oceania,-2
Australia,Brisbane,Carina Heights,Oceania,-2
Australia,Brisbane,Wacol,Oceania,-2
Australia,Brisbane,Forest Lake,Oceania,1
Australia,Canberra,Florey,Oceania,-2
Australia,Brisbane,Ipswich,Oceania,1
Australia,Perth,Bull Creek,Oceania,-2
Australia,Brisbane,Norman Park,Oceania,-2
Australia,Canberra,Jerrabomberra,Oceania,-2
Australia,Canberra,Lyons,Oceania,-2
Australia,Perth,Warnbro,Oceania,-2
Australia,Brisbane,Oxley,Oceania,-2
Australia,Adelaide,Langhorne Creek,Oceania,-2
Australia,Perth,Booragoon,Oceania,-2
Australia,Brisbane,Runaway Bay,Oceania,-2
Australia,Perth,Lesmurdie,Oceania,-2
Australia,Adelaide,Tonsley,Oceania,-2
Australia,Brisbane,Buderim,Oceania,1
Australia,Perth,Carine,Oceania,-2
Australia,Perth,Mundaring,Oceania,-2
Australia,Brisbane,Pacific Paradise,Oceania,-2
Australia,Adelaide,Wayville,Oceania,-2
Australia,Adelaide,Hahndorf,Oceania,-2
Australia,Brisbane,Carina,Oceania,1
Australia,Adelaide,Mount Barker,Oceania,-2
Australia,Brisbane,TOOMBUL,Oceania,-2
Australia,Adelaide,Hindmarsh,Oceania,-2
Australia,Brisbane,Kippa-Ring,Oceania,-2
Australia,Brisbane,Mountain Creek,Oceania,1
Australia,Brisbane,Morningside,Oceania,-2
Australia,Perth,Manning,Oceania,-2
Australia,Brisbane,Brookwater,Oceania,-2
